date,price,occupied
2025-03,2255.6540084388184,0.4050632911392405
2025-04,2283.5472222222224,0.2777777777777778
2025-05,2411.55376344086,0.25806451612903225
2025-06,2407.4555555555557,0.18055555555555555
2025-07,2416.52688172043,0.13709677419354838
2025-08,2417.2311827956987,0.13172043010752688
2025-09,2391.2916666666665,0.05555555555555555
2025-10,2353.817679558011,0.06906077348066299
2025-11,2271.3333333333335,0.022222222222222223
2025-12,2401.375314861461,0.0654911838790932
2026-01,2381.171215880893,0.07692307692307693
2026-02,2562.6263736263736,0.07692307692307693
2026-03,2646.445945945946,0.10810810810810811
